GDAY_DS,T_ID,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,득점권_타율
20200725,NC,36,31,2,6,0,0,0,6,2,0,1,4,0,0,3,0,0,1,.250
20200725,OB,34,31,7,10,4,0,1,17,7,0,1,2,0,0,6,0,0,1,.571
20200725,SS,38,32,2,7,1,0,0,8,2,1,1,6,0,0,10,0,0,0,.000
20200725,WO,36,27,3,3,1,0,0,4,3,0,0,6,1,0,8,1,1,1,.167
20200726,HH,38,34,4,8,2,0,1,13,4,0,0,4,0,0,8,1,0,0,.200
20200726,HT,41,37,8,12,2,1,0,16,6,0,0,3,1,0,5,0,0,0,.385
20200726,KT,36,34,5,8,0,0,3,17,5,2,0,2,0,0,8,1,0,0,.167
20200726,LG,36,33,4,7,0,1,0,9,4,2,0,2,0,0,8,1,0,1,.167
20200726,LT,37,34,1,8,3,0,0,11,1,1,0,3,0,0,4,2,0,0,.200
20200726,NC,34,32,4,7,1,0,2,14,4,1,0,1,0,0,7,1,0,1,.250
20200726,OB,40,32,3,8,2,0,1,13,3,0,0,6,1,1,5,1,1,0,.333
20200726,SK,42,35,7,10,2,0,0,12,7,1,0,5,2,0,5,1,0,0,.313
20200726,SS,43,36,5,12,4,0,1,19,5,1,0,4,0,0,4,0,2,1,.083
20200726,WO,40,35,8,13,4,0,0,17,8,0,1,4,1,1,5,1,0,0,.313
20200727,HH,35,29,5,5,3,0,0,8,5,1,0,5,0,0,5,2,1,0,.286
20200727,SK,37,32,5,10,3,0,1,16,5,1,0,3,1,0,5,3,1,0,.429
20200728,LG,58,49,24,23,3,1,6,46,23,0,0,7,2,1,6,1,0,0,.421
20200728,LT,46,36,11,14,3,0,2,23,11,0,0,8,0,1,6,1,1,1,.500
20200728,NC,46,42,9,17,3,0,2,26,8,2,0,4,0,0,7,1,0,0,.400
20200728,OB,38,36,2,9,2,0,1,14,2,0,0,2,0,0,4,0,0,0,.111
20200728,SK,41,34,7,8,3,0,2,17,7,0,0,5,2,0,10,1,0,0,.214
20200728,WO,43,34,6,8,2,0,1,13,5,0,0,5,2,1,6,0,1,1,.167
20200729,HH,49,44,12,18,1,0,1,22,8,0,0,3,1,0,7,1,0,1,.500
20200729,LG,45,36,11,13,0,0,3,22,11,1,0,8,1,0,7,2,0,0,.500
20200729,SK,44,40,6,14,1,0,4,27,6,2,0,3,1,0,5,0,0,0,.154
20200729,SS,44,34,7,9,1,0,2,16,7,1,1,8,2,0,7,1,0,0,.111
20200730,HH,43,37,1,3,0,0,0,3,1,0,0,4,2,0,12,0,0,0,.000
20200730,HT,36,33,1,8,3,0,0,11,1,0,0,1,1,0,8,1,1,0,.000
20200730,KT,38,31,4,11,2,0,0,13,4,1,3,3,2,0,6,1,2,0,.364
20200730,LG,45,39,9,13,3,0,1,19,9,1,0,5,1,0,6,1,0,0,.467
20200730,OB,41,36,5,10,0,0,2,16,5,2,0,3,1,0,8,0,1,0,.143
20200730,SK,34,30,1,4,3,0,0,7,1,0,0,3,1,0,8,0,0,0,.125
20200730,SS,46,36,2,6,2,0,0,8,1,3,0,7,1,1,12,0,2,0,.067
